NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-01;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-02;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-03;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-04;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-05;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-06;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-07;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-08;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-09;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-10;5.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-11;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-12;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-13;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-14;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-15;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-16;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-17;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-18;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-19;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-20;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-21;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-22;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-23;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-24;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-25;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-26;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-27;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-28;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-29;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-30;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-05-31;1.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-01;9.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-02;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-03;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-04;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-05;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-06;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-07;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-08;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-09;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-10;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-11;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-12;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-13;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-14;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-15;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-16;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-17;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-18;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-19;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-20;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-21;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-22;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-23;27.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-24;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-25;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-26;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-27;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-28;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-29;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-06-30;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-01;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-02;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-03;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-04;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-05;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-06;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-07;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-08;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-09;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-10;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-11;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-12;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-13;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-14;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-15;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-16;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-17;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-18;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-19;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-20;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-21;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-22;12.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-23;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-24;2.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-25;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-26;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-27;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-28;0.0;1.0
